AES | ANF_CSE_LS-transpiled depth=49627  size=73799 ancilla=150 ops={'u': 44548, 'cx': 29243, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1208   size=1331   Toffoli_N=2680   Depth_N=2370  ancilla=155 ops={'cx': 621, 'mcx': 382, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=49596  size=73569 ancilla=155 ops={'u': 44396, 'cx': 29165, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1213   size=1341   Toffoli_N=2684   Depth_N=2379  ancilla=160 ops={'cx': 627, 'mcx': 386, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=49553  size=73339 ancilla=160 ops={'u': 44244, 'cx': 29087, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1217   size=1351   Toffoli_N=2675   Depth_N=2379  ancilla=165 ops={'cx': 636, 'mcx': 387, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=49345  size=72839 ancilla=165 ops={'u': 43931, 'cx': 28900, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1226   size=1361   Toffoli_N=2666   Depth_N=2384  ancilla=170 ops={'cx': 645, 'mcx': 388, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=49120  size=72339 ancilla=170 ops={'u': 43618, 'cx': 28713, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1233   size=1371   Toffoli_N=2685   Depth_N=2405  ancilla=175 ops={'cx': 648, 'mcx': 395, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=49180  size=72485 ancilla=175 ops={'u': 43685, 'cx': 28792, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1245   size=1381   Toffoli_N=2704   Depth_N=2431  ancilla=180 ops={'cx': 651, 'mcx': 402, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=49285  size=72631 ancilla=180 ops={'u': 43752, 'cx': 28871, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1256   size=1391   Toffoli_N=2701   Depth_N=2444  ancilla=185 ops={'cx': 660, 'mcx': 403, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=49099  size=72449 ancilla=185 ops={'u': 43613, 'cx': 28828, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1266   size=1401   Toffoli_N=2698   Depth_N=2456  ancilla=190 ops={'cx': 669, 'mcx': 404, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=48882  size=72267 ancilla=190 ops={'u': 43474, 'cx': 28785, 'measure': 8}
